Nomos;2020;2021;2020-2021
ΑΓΙΟ ΟΡΟΣ;;;
Ν. ΑΘΗΝΩΝ;1;11;6
Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ;3;14;9
Ν. ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ;;;
Ν. ΑΡΓΟΛΙΔΑΣ;0;6;3
Ν. ΑΡΚΑΔΙΑΣ;10;12;11
Ν. ΑΡΤΑΣ;-1;3;1
Ν. ΑΧΑΪΑΣ;-1;10;5
Ν. ΒΟΙΩΤΙΑΣ;-1;11;5
Ν. ΓΡΕΒΕΝΩΝ;27;22;24
Ν. ΔΡΑΜΑΣ;23;10;16
Ν. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ;;;
Ν. ΔΩΔΕΚΑΝΗΣΩΝ;-6;9;1
Ν. ΕΒΡΟΥ;1;10;6
Ν. ΕΥΒΟΙΑΣ;2;24;13
Ν. ΕΥΡΥΤΑΝΙΑΣ;-8;0;-4
Ν. ΖΑΚΥΝΘΟΥ;-9;-6;-7
Ν. ΗΛΕΙΑΣ;4;12;8
Ν. ΗΜΑΘΙΑΣ;13;23;18
Ν. ΗΡΑΚΛΕΙΟΥ;-2;11;4
Ν. ΘΕΣΠΡΩΤΙΑΣ;2;6;4
Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ;10;20;15
Ν. ΙΩΑΝΝΙΝΩΝ;-1;9;4
Ν. ΚΑΒΑΛΑΣ;12;14;13
Ν. ΚΑΡΔΙΤΣΑΣ;5;18;12
Ν. ΚΑΣΤΟΡΙΑΣ;13;27;20
Ν. ΚΕΡΚΥΡΑΣ;-7;1;-3
Ν. ΚΕΦΑΛΛΟΝΙΑΣ;-1;4;1
Ν. ΚΙΛΚΙΣ;13;22;18
Ν. ΚΟΖΑΝΗΣ;5;13;9
Ν. ΚΟΡΙΝΘΟΥ;-2;12;5
Ν. ΚΥΚΛΑΔΩΝ;3;9;6
Ν. ΛΑΚΩΝΙΑΣ;-9;1;-4
Ν. ΛΑΡΙΣΑΣ;5;16;11
Ν. ΛΑΣΙΘΙΟΥ;-6;2;-2
Ν. ΛΕΣΒΟΥ;5;8;7
Ν. ΛΕΥΚΑΔΑΣ;3;3;3
Ν. ΜΑΓΝΗΣΙΑΣ;10;27;18
Ν. ΜΕΣΣΗΝΙΑΣ;-4;5;0
Ν. ΞΑΝΘΗΣ;17;20;19
Ν. ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ;;;
Ν. ΠΕΛΛΑΣ;18;20;19
Ν. ΠΙΕΡΙΑΣ;12;11;12
Ν. ΠΡΕΒΕΖΑΣ;1;0;0
Ν. ΡΕΘΥΜΝΟΥ;-2;6;2
Ν. ΡΟΔΟΠΗΣ;7;12;9
Ν. ΣΑΜΟΥ;0;5;2
Ν. ΣΕΡΡΩΝ;18;23;21
Ν. ΤΡΙΚΑΛΩΝ;9;18;13
Ν. ΦΘΙΩΤΙΔΑΣ;1;14;8
Ν. ΦΛΩΡΙΝΑΣ;1;8;5
Ν. ΦΩΚΙΔΑΣ;-2;4;1
Ν. ΧΑΛΚΙΔΙΚΗΣ;10;14;12
Ν. ΧΑΝΙΩΝ;-2;4;1
Ν. ΧΙΟΥ;-3;3;0